Gene	correlation	p_value	mean_CN	mean_exp	delta_CN	delta_exp
IGSF21	0.448331180354364	0.00046972790313624	2.31578947368421	4.2833999894927	3	5.58597127973048
KLHDC7A	-0.154677896904918	0.250617552371182	2.31578947368421	3.32206951106754	3	3.93918080418571
PAX7	-0.0357508909547327	0.791766153079359	2.31578947368421	3.29609744814702	3	2.7524146339435
TAS1R2	-0.153316262182081	0.254863627358547	2.31578947368421	3.00538646718861	3	0.266403340440852
IFFO2	0.368987744660788	0.00473554870402326	2.31578947368421	4.01816959332594	3	4.98322717350578
UBR4	0.108159777518818	0.423218132631935	2.31578947368421	7.8273492279306	3	5.58414130586171
EMC1	-0.0176213943384055	0.896486331124654	2.31578947368421	3.40525741880195	3	2.59511962193779
MRTO4	0.289953430373267	0.0286813821427712	2.31578947368421	4.94421233568265	3	4.48480632920711
AKR7A3	0.44610353561653	0.000505201034111221	2.31578947368421	3.98731597278071	3	5.80175038295938
AKR7A2	0.245794229176541	0.0653321701628604	2.31578947368421	4.69259738014212	3	5.34530491088924
CAPZB	0.357870097498078	0.00627294989213096	2.31578947368421	8.18403251825862	3	4.74537200795716
NBL1	0.1944670434408	0.147185184409168	2.31578947368421	5.55576357237048	3	7.01822808939841
HTR6	0.0368387505736759	0.785578178195813	2.31578947368421	3.11318378688507	3	2.73932592728303
TMCO4	0.189743937585603	0.157456686603689	2.31578947368421	5.11230537146693	3	6.24088399226926
OTUD3	0.13411196524856	0.319934108280451	2.33333333333333	4.97279690997855	3	4.58860455404504
PLA2G2A	0.0396149894453639	0.769846777665646	2.33333333333333	3.5513740488392	3	4.16400311003783
PLA2G5	0.155961810923341	0.246658067641786	2.33333333333333	3.12050118613893	3	0.771132054849746
UBXN10	0.107275634203269	0.427040665175191	2.33333333333333	3.63149502264016	3	4.07603019640704
VWA5B1	0.0436611405900735	0.747085074337103	2.33333333333333	3.10676511317639	3	1.21220303629811
LINC01141	-0.143313625198046	0.28754404010347	2.33333333333333	3.15699013324782	3	4.07097989769048
CAMK2N1	0.219538538149674	0.100829617166832	2.33333333333333	4.85010436711747	3	4.86708598632699
MUL1	0.281723677814236	0.0337493021563918	2.33333333333333	4.59937050128128	3	5.19525258677857
CDA	0.0686862640678176	0.611676750265059	2.33333333333333	3.38610104296758	3	6.20737179987685
PINK1	0.118801711872214	0.378759139045618	2.33333333333333	3.46474634573262	3	3.63692089452145
DDOST	0.259781188246469	0.0509975172297591	2.33333333333333	4.92081770506363	3	5.63406616914037
KIF17	-0.0638166336619748	0.637203733151829	2.33333333333333	3.45576320147257	3	3.54573545859977
SH2D5	-0.215688440370029	0.10710020774573	2.33333333333333	3.20827744091293	3	2.49594603883025
HP1BP3	0.276380601870218	0.0374223600035075	2.33333333333333	8.32502321004029	3	5.19946763666834
EIF4G3	0.277705791861983	0.0364818642724388	2.33333333333333	8.2467147823848	3	4.88827731643221
ECE1	0.289244953721517	0.0290909889775441	2.35087719298246	6.79641231222438	3	5.45610143133553
NBPF3	0.143308947092007	0.287559939740786	2.35087719298246	4.24435384735348	3	3.78323085732497
ALPL	0.158231490630965	0.239763293892605	2.35087719298246	3.42659778928024	3	2.83018234134511
RAP1GAP	-0.0237581861894935	0.860748688663928	2.35087719298246	3.87950451541703	3	4.28596966339497
USP48	0.195833364072664	0.144308838107281	2.35087719298246	6.56615081752137	3	7.82098180765465
LDLRAD2	0.227276094796611	0.0890912281214756	2.35087719298246	3.04039810121537	3	0.543166915144103
HSPG2	-0.0763978209919472	0.572183360714742	2.35087719298246	3.83307130259413	3	3.3346821209083
CELA3B	-0.0425358810927196	0.753394673420834	2.35087719298246	3.09153091287403	3	1.21856177210984
CELA3A	0.210962051453432	0.115203824319581	2.35087719298246	3.02044803973641	3	0.543166915144103
LINC00339	0.0967658619271161	0.473951922492748	2.35087719298246	3.220107789827	3	1.50403070235443
CDC42	0.463052945599696	0.000286678251815322	2.35087719298246	7.77761113461644	3	7.31913448595274
WNT4	0.181743954308862	0.176043907927551	2.35087719298246	4.30024466035865	3	6.16989490318925
ZBTB40	0.181092389785808	0.17762496467499	2.35087719298246	5.50225595811157	3	5.58048179814239
EPHA8	0.153635743896251	0.253863025793916	2.33333333333333	3.14817611412018	3	1.06077506030098
EPHB2	-0.242577991402217	0.0690473079459902	2.33333333333333	3.46237676630661	3	2.97937606053511
KDM1A	-0.107748778810975	0.424992628972528	2.33333333333333	3.49658023706992	3	4.51954386489667
LUZP1	0.0687543579745532	0.611322934769378	2.33333333333333	6.47644616646623	3	5.14212980319789
HNRNPR	0.325908661434486	0.0133609559811687	2.33333333333333	7.79954542761444	3	4.18279565667328
ZNF436	-0.118545546938856	0.379795310201306	2.33333333333333	3.5914249078463	3	5.72195065457375
TCEA3	0.327149328150711	0.0129926101918842	2.33333333333333	6.3757056595808	3	7.06168998002332
ASAP3	-0.0223571666474006	0.868885784912496	2.33333333333333	4.51218747267723	3	7.28680222397234
E2F2	-0.10985223372119	0.415955506408174	2.33333333333333	3.36043275569707	3	4.81783710062847
ID3	0.11602715294757	0.390072023289361	2.33333333333333	4.09745909007942	3	4.01069476643611
MDS2	0.256033501473877	0.0545602116586382	2.33333333333333	3.36600762837948	3	2.37569061619648
RPL11	-0.30178779522966	0.0225219742186263	2.33333333333333	8.94077408073237	3	4.33964759532302
PITHD1	0.00956685975647259	0.943692551679989	2.33333333333333	5.00644377338809	3	5.11682553399909
LYPLA2	0.415522058269618	0.00130761720616485	2.33333333333333	4.42887064612109	3	4.55121677513305
GALE	-0.0503348689622314	0.710014518790561	2.33333333333333	4.8738393875527	3	6.28207071657051
HMGCL	0.221693517226087	0.0974461862126434	2.33333333333333	4.68676854734738	3	5.20487028707081
IL22RA1	-0.0547103963688588	0.686060980453241	2.33333333333333	3.03780777966938	3	0.802370263845967
IFNLR1	-0.274831180270506	0.0385473477698098	2.33333333333333	3.459021490929	3	2.89258747259268
GRHL3	0.0867777038814794	0.520967291737309	2.33333333333333	3.22913841143255	3	2.31102290762883
STPG1	-0.139763677360743	0.299775299440911	2.33333333333333	4.39875675244159	3	6.85849912275791
NIPAL3	0.102498296420949	0.448030581457822	2.33333333333333	4.39438934317604	3	3.86769655507341
RCAN3	0.112371704663123	0.405277651838357	2.33333333333333	5.6446574234723	3	6.05755654286686
NCMAP	-0.0449269524401808	0.74000703129363	2.33333333333333	3.51804408080924	3	3.29277699538228
SRRM1	0.521925231673857	3.13099503215998e-05	2.33333333333333	9.40673065471938	3	5.43472763544615
CLIC4	-0.16151079181015	0.230036785894001	2.33333333333333	6.79733596167205	3	5.1249952440879
RUNX3	-0.0643743138101794	0.634258265885617	2.33333333333333	3.22147604130801	3	2.61163315835905
SYF2	0.264884770224182	0.0464528125019734	2.33333333333333	7.20687895743679	3	6.36531373444647
TMEM50A	0.433423631401261	0.00075752754616431	2.33333333333333	6.80067377736342	3	7.83746320884202
RHCE	0.125157921539312	0.353593408825845	2.33333333333333	3.41043611671901	3	4.5398939382952
LDLRAP1	0.334680629423854	0.0109387195341288	2.33333333333333	4.40140105426864	3	5.2560440861101
MAN1C1	0.0143137656155531	0.915838032106106	2.33333333333333	4.4588713840925	3	6.03476005053357
MTFR1L	0.0332394740055531	0.806099839505712	2.33333333333333	3.44042421887406	3	3.2223708141187
AUNIP	0.295701477746243	0.0255332947382718	2.33333333333333	3.39866783095887	3	1.9490920821749
PAQR7	0.0938931036452758	0.487237348156327	2.33333333333333	3.14455641783572	3	3.12692446218811
STMN1	0.0142438575332918	0.916247602096188	2.33333333333333	5.19353539330093	3	4.58641246878435
PAFAH2	0.222147910124385	0.0967441626852282	2.33333333333333	3.8897406415953	3	4.00908106056541
EXTL1	-0.0948116227637133	0.482968400576776	2.33333333333333	3.11202749325772	3	2.88880550464459
SLC30A2	-0.0918913667603767	0.496608915812023	2.33333333333333	3.0737434976107	3	1.76484901032536
TRIM63	-0.0840759988115491	0.534073729800276	2.33333333333333	3.0460791654093	3	0.675047446600301
